Species,latitude,longitude
Asclepias syriaca,43.2877,-89.72929
Asclepias syriaca,44.89484,-93.38675
Asclepias syriaca,42.37042,-71.25689
Asclepias syriaca,44.63766,-63.58926
Asclepias syriaca,42.36661,-71.25628
Asclepias syriaca,42.36671,-71.25616
Asclepias syriaca,41.5227,-87.63845
Asclepias syriaca,43.49048,-74.27281
Asclepias syriaca,41.23499,-87.41487
Asclepias syriaca,42.40372,-71.08659
Asclepias syriaca,40.8086,-85.75943
Asclepias syriaca,40.48077,-74.41697
Asclepias syriaca,40.48551,-74.42841
Asclepias syriaca,36.46152,-81.33867
Asclepias syriaca,44.26566,-72.51064
Asclepias syriaca,40.78482,-74.10498
Asclepias syriaca,41.22495,-81.48601
Asclepias syriaca,39.4174,-76.84462
Asclepias syriaca,43.17893,-85.71448
Asclepias syriaca,39.98197,-82.41329
Asclepias syriaca,41.65804,-81.18302
Asclepias syriaca,42.64313,-71.31355
Asclepias syriaca,41.00762,-81.39748
Asclepias syriaca,43.01768,-73.63699
Asclepias syriaca,41.77,-86.25
Asclepias syriaca,44.46972,-93.1489
Asclepias syriaca,45.30285,-75.1812
Asclepias syriaca,36.07497,-78.951
Asclepias syriaca,38.90818,-76.96706
Asclepias syriaca,40.38577,-74.76128
Asclepias syriaca,43.11478,-76.23525
Asclepias syriaca,45.27295,-76.81273
Asclepias syriaca,42.79421,-86.10321
Asclepias syriaca,42.80308,-75.71438
Asclepias syriaca,39.32891,-77.75728
Asclepias syriaca,42.37286,-72.53985
Asclepias syriaca,40.60131,-74.5328
Asclepias syriaca,39.11696,-77.57228
Asclepias syriaca,39.57098,-76.50336
Asclepias syriaca,39.2813,-76.61192
Asclepias syriaca,36.09781,-79.90936
Asclepias syriaca,40.59341,-74.54493
Asclepias syriaca,40.60983,-74.57385
Asclepias syriaca,40.427,-79.89333
Asclepias syriaca,42.31243,-71.03696
Asclepias syriaca,45.86794,-77.75665
Asclepias syriaca,42.99376,-72.52763
Asclepias syriaca,43.58039,-89.71436
Asclepias syriaca,44.53421,-72.02787
Asclepias syriaca,44.89981,-72.95655
Asclepias syriaca,35.54303,-82.14583
Asclepias syriaca,42.37549,-85.67174
Asclepias syriaca,45.76171,-95.38497
Asclepias syriaca,50.1721,-97.13432
Asclepias syriaca,37.24059,-80.45919
Asclepias syriaca,38.91636,-77.06443
Asclepias syriaca,44.98021,-72.18454
Asclepias syriaca,40.55154,-105.14315
Asclepias syriaca,42.39407,-71.07628
Asclepias syriaca,43.95578,-89.12783
Asclepias syriaca,41.40226,-72.60525
Asclepias syriaca,43.8952,-89.28862
Asclepias syriaca,41.03618,-85.2264
Asclepias syriaca,39.09467,-76.58456
Asclepias syriaca,44.75759,-71.73225
Asclepias syriaca,40.58246,-105.10631
Asclepias syriaca,44.33035,-72.47036
Asclepias syriaca,43.36385,-89.77057
Asclepias syriaca,42.70375,-83.48445
Asclepias syriaca,38.99946,-76.66757
Asclepias syriaca,42.40194,-71.11001
Asclepias syriaca,44.92807,-93.30208
Asclepias syriaca,43.17698,-72.88421
Asclepias syriaca,42.65583,-71.10736
Asclepias syriaca,42.50652,-89.03029
Asclepias syriaca,44.51495,-73.23579
Asclepias syriaca,41.16118,-73.16772
Asclepias syriaca,38.8041,-77.01655
Asclepias syriaca,41.31794,-72.0363
Asclepias syriaca,40.3502,-89.14224
Asclepias syriaca,39.5728,-79.23564
Asclepias syriaca,41.9966,-85.98227
Asclepias syriaca,43.54127,-70.48143
Asclepias syriaca,39.51956,-82.56633
Asclepias syriaca,44.27327,-96.7782
Asclepias syriaca,43.14487,-89.2966
Asclepias syriaca,42.59964,-99.18172
Asclepias syriaca,39.05052,-77.31212
Asclepias syriaca,44.02909,-88.5269
Asclepias syriaca,45.33218,-75.91981
Asclepias syriaca,42.70678,-83.48599
Asclepias syriaca,44.9323,-93.22053
Asclepias syriaca,43.1876,-72.48893
Asclepias syriaca,39.88346,-79.42321
Asclepias syriaca,44.36968,-83.3377
Asclepias syriaca,43.12562,-80.28369
Asclepias syriaca,44.99328,-95.77333
Asclepias syriaca,41.60619,-84.45625
Asclepias syriaca,35.98573,-79.0577
Asclepias syriaca,38.91315,-76.94017
Asclepias syriaca,46.85831,-96.4654
Asclepias syriaca,41.01577,-74.79308
Asclepias syriaca,35.99027,-79.05469
Asclepias syriaca,35.98995,-79.05485
Asclepias syriaca,38.88762,-76.15748
Asclepias syriaca,39.81766,-82.73462
Asclepias syriaca,35.99011,-79.05517
Asclepias syriaca,35.99018,-79.05511
Asclepias syriaca,42.25523,-71.33881
Asclepias syriaca,41.96303,-87.63338
Asclepias syriaca,44.82224,-73.28183
Asclepias syriaca,40.81085,-96.66734
Asclepias syriaca,44.46469,-68.93059
Asclepias syriaca,44.52718,-73.40523
Asclepias syriaca,43.73883,-72.52376
Asclepias syriaca,39.1394,-84.51763
Asclepias syriaca,40.49956,-74.4258
Asclepias syriaca,40.47235,-74.5261
Asclepias syriaca,40.70489,-74.47097
Asclepias syriaca,40.4385,-79.948
Asclepias syriaca,43.04602,-70.71976
Asclepias syriaca,36.10787,-78.81237
Asclepias syriaca,43.63147,-72.52131
Asclepias syriaca,44.00092,-73.15707
Asclepias syriaca,45.5039,-75.49461
Asclepias syriaca,43.36381,-85.45404
Asclepias syriaca,42.52023,-90.62042
Asclepias syriaca,43.04689,-87.98592
Asclepias syriaca,44.50554,-73.21577
