Species,latitude,longitude
Asclepias speciosa,39.48774,-119.76093
Asclepias speciosa,39.53734,-119.70915
Asclepias speciosa,39.54173,-119.71095
Asclepias speciosa,40.58512,-105.17942
Asclepias speciosa,39.17639,-119.70706
Asclepias speciosa,39.27595,-103.01045
Asclepias speciosa,39.54163,-119.71093
Asclepias speciosa,42.60051,-114.46977
Asclepias speciosa,42.60054,-114.46975
Asclepias speciosa,39.50422,-119.89303
Asclepias speciosa,37.74458,-119.58806
Asclepias speciosa,38.42446,-120.64507
Asclepias speciosa,36.18875,-97.99983
Asclepias speciosa,38.18475,-98.41753
Asclepias speciosa,38.1434,-98.49132
Asclepias speciosa,39.50384,-119.89306
Asclepias speciosa,38.61731,-121.31176
Asclepias speciosa,47.52448,-117.43293
Asclepias speciosa,38.25007,-104.67143
Asclepias speciosa,42.86726,-112.4289
Asclepias speciosa,42.86726,-112.4289
Asclepias speciosa,39.96441,-105.27933
Asclepias speciosa,42.64626,-123.69458
Asclepias speciosa,37.73951,-119.59489
Asclepias speciosa,38.76058,-122.76078
Asclepias speciosa,38.75955,-122.76402
Asclepias speciosa,41.4936,-109.43872
Asclepias speciosa,37.72418,-119.63248
Asclepias speciosa,46.31058,-120.32997
Asclepias speciosa,38.61422,-109.5794
Asclepias speciosa,38.54682,-121.768
Asclepias speciosa,36.88759,-104.43268
Asclepias speciosa,47.95,-119.4667
Asclepias speciosa,47.9667,-119.6333
Asclepias speciosa,47.9667,-119.6333
Asclepias speciosa,41.6025,-120.42194
Asclepias speciosa,39.66667,-104.41667
Asclepias speciosa,40.57833,-105.04083
Asclepias speciosa,40.61861,-103.17528
Asclepias speciosa,40.68444,-104.50889
Asclepias speciosa,40.56667,-105.01667
Asclepias speciosa,49.06667,-120.76667
Asclepias speciosa,40.97194,-117.74639
Asclepias speciosa,38.50361,-90.67583
Asclepias speciosa,36.23556,-105.58583
Asclepias speciosa,36.23556,-105.58583
Asclepias speciosa,40.88333,-104.36667
Asclepias speciosa,49.55,-109.28
Asclepias speciosa,44.51667,-108.06667
Asclepias speciosa,38.16861,-120.46889
Asclepias speciosa,45.1758,-99.0211
Asclepias speciosa,46.335,-111.5331
Asclepias speciosa,44.66833,-123.03528
Asclepias speciosa,44.13333,-99.81667
Asclepias speciosa,43.96667,-99.2
Asclepias speciosa,43.98497,-97.1595
Asclepias speciosa,41.42569,-122.51672
Asclepias speciosa,41.2625,-111.82556
Asclepias speciosa,45.59471,-122.76513
Asclepias speciosa,53.65784,-113.32557
Asclepias speciosa,39.21776,-121.04427
Asclepias speciosa,38.28124,-111.24917
Asclepias speciosa,39.43721,-120.23119
Asclepias speciosa,42.59967,-114.46825
Asclepias speciosa,42.27796,-123.67457
Asclepias speciosa,40.16902,-105.14044
Asclepias speciosa,38.5662,-119.50739
Asclepias speciosa,39.44165,-105.07444
Asclepias speciosa,38.55086,-119.50171
Asclepias speciosa,38.74539,-122.76602
Asclepias speciosa,37.48811,-106.09929
Asclepias speciosa,40.38322,-104.09045
Asclepias speciosa,39.21688,-121.04415
Asclepias speciosa,38.1539,-121.44419
Asclepias speciosa,41.68742,-93.24636
Asclepias speciosa,37.94,-118.46
Asclepias speciosa,37.54,-113.52
Asclepias speciosa,40.34889,-114.81611
Asclepias speciosa,37.16407,-112.9702
Asclepias speciosa,37.72,-111.93
Asclepias speciosa,42.33345,-113.57572
Asclepias speciosa,46.42599,-105.31308
Asclepias speciosa,40.4375,-111.9314
Asclepias speciosa,43,-113
Asclepias speciosa,38.62,-114.65
Asclepias speciosa,47.17989,-120.87492
Asclepias speciosa,48.51395,-110.95843
Asclepias speciosa,37.84,-111.98
Asclepias speciosa,37.5,-118.25
Asclepias speciosa,43.96989,-116.81904
Asclepias speciosa,39.77411,-118.06731
Asclepias speciosa,38.93217,-119.8512
Asclepias speciosa,43.1736,-112.2883
